,,,,,,Initials:,se,,,se,se,se,se,,,,,,,,,,,
11,6,LS,YO7,C5_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,LS,SQ1,C6_T11,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
11,6,02KNO3,BH,D1_T11,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
11,6,Control,YO1,D2_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,02KNO3,WL1,D3_T11,5,5,0,0,0,2,1,0,0,,3,0.6,,,,,,,,
11,6,LS,YO1,D4_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,05KNO3,LVTR,D5_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,02KNO3,YO7,D6_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,02KNO3,DPR,A1_T12,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
12,6,05KNO3,DPR,A2_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,LS,DPR,A3_T12,5,5,0,0,0,0,0,1,1,,2,0.4,,,,,,,,
12,6,05KNO3,IH,A4_T12,5,5,0,0,0,0,1,0,1,,2,0.4,,,,,,,,
12,6,Control,IH,A5_T12,5,5,0,0,0,1,2,0,0,,3,0.6,,,,,,,,
12,6,05KNO3,WL2,A6_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,LS,TM2,B1_T12,5,5,0,0,1,2,1,0,0,,4,0.8,,,,,,,,
12,6,Control,DPR,B2_T12,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
12,6,Control,TM2,B3_T12,5,5,0,3,1,0,0,0,0,,4,0.8,,,,,,,,
12,6,LS,WL2,B4_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,LS,WL1,B5_T12,5,5,0,0,1,0,1,1,0,,3,0.6,,,,,,,,
12,6,Control,WL1,B6_T12,5,5,0,0,2,0,1,0,0,,3,0.6,,,,,,,,
12,6,Control,LVTR,C1_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,LS,LVTR,C2_T12,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
12,6,Control,YO7,C3_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,Control,WL2,C4_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,02KNO3,LVTR,C5_T12,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
12,6,LS,FR,C6_T12,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
12,6,02KNO3,CP2,D1_T12,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
12,6,02KNO3,IH,D2_T12,5,5,0,0,0,1,0,1,0,,2,0.4,,,,,,,,
12,6,05KNO3,SQ1,D3_T12,5,5,0,1,0,1,0,0,0,,2,0.4,,,,,,,,
12,6,02KNO3,TM2,D4_T12,5,5,0,0,2,0,0,0,0,(7/26) One germinant had seed coat and tail separated -- trashed and was not included into germination tray,2,0.4,,,,,,,,
12,6,02KNO3,SQ1,D5_T12,5,5,0,0,0,1,0,2,1,,4,0.8,,,,,,,,
12,6,02KNO3,YO1,D6_T12,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
13,7,Control,CP2,A1_T13,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
13,7,05KNO3,DPR,A2_T13,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
13,7,02KNO3,CP2,A3_T13,5,5,0,0,1,0,1,0,0,,2,0.4,,,,,,,,
13,7,02KNO3,IH,A4_T13,5,5,0,0,0,1,0,0,1,,2,0.4,,,,,,,,
13,7,02KNO3,DPR,A5_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,05KNO3,IH,A6_T13,5,5,0,0,1,0,1,1,0,,3,0.6,,,,,,,,
13,7,LS,YO1,B1_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,Control,TM2,B2_T13,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
13,7,LS,YO7,B3_T13,5,5,0,0,1,0,0,0,1,"(7/26) Germinant had seed coat and tail separated, trashed, (7/27-28): 1 seed coat separated, (7/30): seed coat split + tail",2,0.4,,,,,,,,
13,7,LS,CP2,B4_T13,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
13,7,LS,FR,B5_T13,5,5,0,0,1,0,0,0,1,,2,0.4,,,,,,,,
13,7,Control,WL2,B6_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,02KNO3,WL1,C1_T13,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
13,7,02KNO3,SQ1,C2_T13,5,5,0,0,0,0,0,0,3,,3,0.6,,,,,,,,
13,7,05KNO3,LVTR,C3_T13,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
13,7,02KNO3,YO7,C4_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,02KNO3,TM2,C5_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,05KNO3,YO7,C6_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,LS,BH,D1_T13,5,5,0,0,2,0,0,1,0,,3,0.6,,,,,,,,
13,7,Control,WL1,D2_T13,5,5,0,0,0,1,0,1,0,,2,0.4,,,,,,,,
13,7,05KNO3,FR,D3_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,Control,IH,D4_T13,5,5,0,0,0,0,0,2,0,"(7/27 - 28) 1 seed coat separated, no tail (split into two green seeds), (7/29) tail emerged",2,0.4,,,,,,,,
13,7,05KNO3,CP2,D5_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
13,7,02KNO3,WL2,D6_T13,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,LS,WL2,A1_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,Control,YO1,A2_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,LS,WL1,A3_T14,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
14,7,05KNO3,WL2,A4_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,LS,DPR,A5_T14,5,5,0,0,0,1,0,0,1,,2,0.4,,,,,,,,
14,7,LS,TM2,A6_T14,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
14,7,05KNO3,YO1,B1_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,02KNO3,LVTR,B2_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,02KNO3,YO1,B3_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,Control,LVTR,B4_T14,5,5,0,0,0,1,0,0,0,"(7/27) Wilted, small seed with tail",1,0.2,,,,,,,,
14,7,Control,DPR,B5_T14,5,5,0,0,1,1,1,0,0,(7/27) Split seed coat with tail,3,0.6,,,,,,,,
14,7,Control,YO7,B6_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,05KNO3,WL1,C1_T14,5,5,0,0,1,0,0,1,1,,3,0.6,,,,,,,,
14,7,LS,LVTR,C2_T14,5,5,0,1,0,0,0,0,0,,1,0.2,,,,,,,,
14,7,02KNO3,BH,C3_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
14,7,LS,SQ1,C4_T14,5,5,0,2,1,0,1,1,0,,5,1,,,,,,,,
14,7,05KNO3,BH,C5_T14,5,5,0,0,1,0,0,1,0,,2,0.4,,,,,,,,
14,7,05KNO3,SQ1,C6_T14,5,5,0,0,0,0,0,2,1,,3,0.6,,,,,,,,
14,7,Control,SQ1,D1_T14,5,5,0,0,1,1,1,0,1,,4,0.8,,,,,,,,
14,7,05KNO3,TM2,D2_T14,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
14,7,Control,BH,D3_T14,5,5,0,0,2,0,0,0,0,,2,0.4,,,,,,,,
14,7,LS,IH,D4_T14,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
14,7,Control,FR,D5_T14,5,5,0,0,0,1,2,0,0,,3,0.6,,,,,,,,
14,7,02KNO3,FR,D6_T14,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,05KNO3,YO1,A1_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,LS,SQ1,A2_T15,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
15,8,LS,YO7,A3_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,02KNO3,FR,A4_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,LS,FR,A5_T15,5,5,0,0,0,0,0,1,1,,2,0.4,,,,,,,,
15,8,05KNO3,BH,A6_T15,5,5,0,1,0,1,0,0,0,(7/27) Green leaf emerged from germinant,2,0.4,,,,,,,,
15,8,05KNO3,YO7,B1_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,02KNO3,BH,B2_T15,5,5,0,1,2,0,0,0,0,,3,0.6,,,,,,,,
15,8,02KNO3,LVTR,B3_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,02KNO3,YO1,B4_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,Control,FR,B5_T15,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
15,8,LS,TM2,B6_T15,5,5,0,0,2,1,0,0,0,,3,0.6,,,,,,,,
15,8,Control,IH,C1_T15,5,5,0,0,0,1,1,1,0,,3,0.6,,,,,,,,
15,8,Control,YO1,C2_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,Control,WL1,C3_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,LS,LVTR,C4_T15,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
15,8,05KNO3,FR,C5_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,Control,SQ1,C6_T15,5,5,0,0,1,0,0,1,0,,2,0.4,,,,,,,,
15,8,Control,LVTR,D1_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,LS,BH,D2_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,Control,YO7,D3_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,02KNO3,TM2,D4_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,Control,WL2,D5_T15,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
15,8,05KNO3,DPR,D6_T15,5,5,0,0,0,0,0,1,2,,3,0.6,,,,,,,,
16,8,02KNO3,YO7,A1_T16,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
16,8,Control,CP2,A2_T16,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
16,8,05KNO3,CP2,A3_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,02KNO3,SQ1,A4_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,LS,IH,A5_T16,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
16,8,LS,WL2,A6_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,05KNO3,TM2,B1_T16,5,5,0,1,1,0,0,0,0,,2,0.4,,,,,,,,
16,8,Control,TM2,B2_T16,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
16,8,02KNO3,WL2,B3_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,LS,DPR,B4_T16,5,5,0,0,0,0,0,1,1,,2,0.4,,,,,,,,
16,8,02KNO3,DPR,B5_T16,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
16,8,05KNO3,SQ1,B6_T16,5,5,0,0,0,1,0,1,0,,2,0.4,,,,,,,,
16,8,05KNO3,LVTR,C1_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,02KNO3,CP2,C2_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,Control,BH,C3_T16,5,5,0,1,1,0,0,0,0,,2,0.4,,,,,,,,
16,8,05KNO3,WL2,C4_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,LS,CP2,C5_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,05KNO3,IH,C6_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,02KNO3,WL1,D1_T16,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
16,8,LS,YO1,D2_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,LS,WL1,D3_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,05KNO3,WL1,D4_T16,5,5,0,0,2,0,0,0,0,,2,0.4,,,,,,,,
16,8,Control,DPR,D5_T16,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
16,8,02KNO3,IH,D6_T16,5,5,0,0,0,0,0,2,0,,2,0.4,,,,,,,,
17,9,LS,LVTR,A1_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,02KNO3,IH,A2_T17,5,5,0,0,0,0,0,1,1,,2,0.4,,,,,,,,
17,9,05KNO3,BH,A3_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,LS,YO7,A4_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,LS,BH,A5_T17,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
17,9,LS,YO1,A6_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,Control,LVTR,B1_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,LS,WL2,B2_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,02KNO3,LVTR,B3_T17,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
17,9,02KNO3,CP2,B4_T17,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
17,9,Control,TM2,B5_T17,5,5,0,0,3,0,0,0,0,,3,0.6,,,,,,,,
17,9,Control,IH,B6_T17,5,5,0,0,1,3,0,0,0,,4,0.8,,,,,,,,
17,9,05KNO3,YO7,C1_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,Control,WL2,C2_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,LS,TM2,C3_T17,5,5,0,0,0,3,0,0,0,,3,0.6,,,,,,,,
17,9,05KNO3,LVTR,C4_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,LS,SQ1,C5_T17,5,5,0,0,0,2,0,3,0,,5,1,,,,,,,,
17,9,02KNO3,WL1,C6_T17,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
17,9,05KNO3,SQ1,D1_T17,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
17,9,05KNO3,IH,D2_T17,5,5,0,0,1,0,0,2,0,,3,0.6,,,,,,,,
17,9,LS,DPR,D3_T17,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
17,9,05KNO3,WL1,D4_T17,5,5,0,0,0,1,1,0,0,,2,0.4,,,,,,,,
17,9,LS,WL1,D5_T17,5,5,0,0,1,0,0,0,1,,2,0.4,,,,,,,,
17,9,LS,IH,D6_T17,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
18,9,02KNO3,DPR,A1_T18,5,5,0,0,0,0,0,1,1,7/30: leaf half emerging out of seed coat,2,0.4,,,,,,,,
18,9,02KNO3,TM2,A2_T18,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
18,9,Control,YO7,A3_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,Control,YO1,A4_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,05KNO3,WL2,A5_T18,5,6,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,02KNO3,FR,A6_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,Control,DPR,B1_T18,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
18,9,05KNO3,CP2,B2_T18,5,4,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,05KNO3,FR,B3_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,05KNO3,TM2,B4_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,Control,WL1,B5_T18,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
18,9,Control,BH,B6_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,LS,FR,C1_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,Control,CP2,C2_T18,5,5,0,0,0,1,1,0,0,,2,0.4,,,,,,,,
18,9,Control,SQ1,C3_T18,5,5,0,0,2,0,0,1,0,,3,0.6,,,,,,,,
18,9,05KNO3,DPR,C4_T18,5,5,0,0,0,0,0,1,1,,2,0.4,,,,,,,,
18,9,LS,CP2,C5_T18,5,5,0,0,0,2,0,0,0,,2,0.4,,,,,,,,
18,9,02KNO3,BH,C6_T18,5,5,0,1,0,0,0,0,0,,1,0.2,,,,,,,,
18,9,05KNO3,YO1,D1_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,02KNO3,YO7,D2_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,02KNO3,SQ1,D3_T18,5,5,0,0,0,0,0,1,2,,3,0.6,,,,,,,,
18,9,02KNO3,YO1,D4_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,Control,FR,D5_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
18,9,02KNO3,WL2,D6_T18,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,LS,TM2,A1_T19,5,5,0,0,2,1,0,0,0,,3,0.6,,,,,,,,
19,10,Control,BH,A2_T19,5,5,0,1,1,1,0,0,0,,3,0.6,,,,,,,,
19,10,05KNO3,IH,A3_T19,5,5,0,0,1,0,1,1,1,,4,0.8,,,,,,,,
19,10,02KNO3,FR,A4_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,05KNO3,LVTR,A5_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,Control,YO1,A6_T19,5,5,0,1,0,0,0,0,0,,1,0.2,,,,,,,,
19,10,Control,WL1,B1_T19,5,5,0,0,1,0,0,1,0,,2,0.4,,,,,,,,
19,10,02KNO3,DPR,B2_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,Control,LVTR,B3_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,LS,BH,B4_T19,5,5,0,1,0,0,0,0,0,,1,0.2,,,,,,,,
19,10,Control,IH,B5_T19,5,5,0,0,2,0,0,0,0,,2,0.4,,,,,,,,
19,10,05KNO3,YO7,B6_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,05KNO3,WL2,C1_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,LS,YO1,C2_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,LS,FR,C3_T19,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
19,10,LS,CP2,C4_T19,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
19,10,05KNO3,YO1,C5_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,Control,TM2,C6_T19,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
19,10,05KNO3,BH,D1_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,LS,LVTR,D2_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,02KNO3,WL1,D3_T19,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
19,10,02KNO3,CP2,D4_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
19,10,05KNO3,DPR,D5_T19,5,5,0,0,0,0,1,0,1,,2,0.4,,,,,,,,
19,10,LS,YO7,D6_T19,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,LS,WL1,A1_T20,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
20,10,05KNO3,SQ1,A2_T20,5,5,0,0,0,1,2,0,0,,3,0.6,,,,,,,,
20,10,05KNO3,TM2,A3_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,05KNO3,CP2,A4_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,Control,DPR,A5_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,02KNO3,LVTR,A6_T20,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
20,10,Control,WL2,B1_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,LS,IH,B2_T20,5,5,0,0,1,0,2,0,0,,3,0.6,,,,,,,,
20,10,02KNO3,TM2,B3_T20,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
20,10,LS,WL2,B4_T20,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
20,10,02KNO3,WL2,B5_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,05KNO3,FR,B6_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,LS,SQ1,C1_T20,5,5,0,0,0,1,0,2,0,,3,0.6,,,,,,,,
20,10,Control,CP2,C2_T20,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
20,10,Control,FR,C3_T20,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
20,10,Control,SQ1,C4_T20,5,5,0,0,0,1,1,0,0,,2,0.4,,,,,,,,
20,10,02KNO3,YO1,C5_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,02KNO3,IH,C6_T20,5,5,0,0,2,0,0,1,0,,3,0.6,,,,,,,,
20,10,02KNO3,YO7,D1_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,Control,YO7,D2_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,LS,DPR,D3_T20,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
20,10,05KNO3,WL1,D4_T20,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
20,10,02KNO3,SQ1,D5_T20,5,5,0,0,0,0,1,1,0,,2,0.4,,,,,,,,
20,10,02KNO3,BH,D6_T20,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
